,n,autodiff_mode,exp_type,error,time,log_error,log_time,exp_and_mode
105,3,rev,yield,11.268780057508906,6.290672364,1.0518769024729417,0.7986970664896869,yield_rev
106,3,rev,yield,568.3001035348625,6.431739937,2.7545777351659964,0.8083284756954288,yield_rev
107,3,rev,yield,130.21881436165893,6.157660162,2.114673736790841,0.7894157167463338,yield_rev
108,3,rev,yield,70.07527924140473,6.471575818,1.8455648370460884,0.8110100435332681,yield_rev
109,3,rev,yield,47.29414863163019,5.841718479,1.6748074118965546,0.7665406238523872,yield_rev
110,3,rev,yield,6.432589839785765,6.282076648,0.8083858604324424,0.7981032309482509,yield_rev
111,3,rev,yield,1336.5245483027247,6.003049405,3.1259769399683544,0.778371917607179,yield_rev
112,3,rev,yield,119.01513591940105,5.772468274,2.0756021969241525,0.7613615546746022,yield_rev
113,3,rev,yield,106.3461333298714,5.955912248,2.026721703885871,0.7749482904081901,yield_rev
114,3,rev,yield,1140.519170330007,6.160177906,3.0571025894798907,0.7895932547745553,yield_rev
115,3,rev,yield,460.5478577188861,6.401664177,2.6632747664835548,0.806292887880407,yield_rev
116,3,rev,yield,484.3734140587083,6.396478707,2.6851802978804673,0.8059409585183548,yield_rev
117,3,rev,yield,155.19587884942464,6.306055033,2.1908801845979604,0.7997577565203432,yield_rev
118,3,rev,yield,237.10422254639934,5.986940107,2.3749392883192746,0.7772049135107238,yield_rev
119,3,rev,yield,45.18537675768985,6.122536855,1.6549979077985828,0.7869314080678756,yield_rev
120,3,rev,yield,265.76375911488253,6.450071447,2.4244957580607522,0.8095645253121662,yield_rev
121,3,rev,yield,613.6420850399695,5.811021066,2.7879151369152804,0.7642524498374951,yield_rev
122,3,rev,yield,847.6526072389538,6.308705847,2.9282179021734924,0.7999402782376628,yield_rev
123,3,rev,yield,66.07979841819576,6.312884229,1.8200687094636763,0.8002278249415644,yield_rev
124,3,rev,yield,18.967198149058152,5.936517358,1.278003181269569,0.7735317419902737,yield_rev
125,3,rev,yield,68.36487331252148,5.963975387,1.8348330133421518,0.7755358424750984,yield_rev
126,3,rev,yield,178.75981817630156,6.105611792,2.2522699042504097,0.7857291874582236,yield_rev
127,3,rev,yield,208.41402401392585,5.879023963,2.3189269389410345,0.7693052303842612,yield_rev
128,3,rev,yield,557.8966941919543,6.266699674,2.7465537880129034,0.7970388820224712,yield_rev
129,3,rev,yield,176.24216349262255,6.171357227,2.246109815436064,0.7903806861364147,yield_rev
130,3,rev,yield,501.05179850017527,6.588761632,2.699882625348192,0.818803795940366,yield_rev
131,3,rev,yield,677.4040123432319,5.981826549,2.8308477646932655,0.7768338159329624,yield_rev
132,3,rev,yield,733.1083303143809,5.817161933,2.8651681544249423,0.7647111534716503,yield_rev
133,3,rev,yield,35.34699099866462,5.837160198,1.5483524492985075,0.766201612472864,yield_rev
134,3,rev,yield,1.884787522564419,5.803476503,0.27526239805429237,0.7636882304176431,yield_rev
135,3,rev,yield,92.32237599659658,5.621158425,1.9653069729014807,0.7498258254875159,yield_rev
